Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
123491012,5,"['Step1: (5,3,8) (8)', 'Step2: (6,5,11) (6,5)', 'Step3: (7) (7)', 'Step4: (11) (11)']",1,2
158101112,6,"['Step1: (1,3,4) (4)', 'Step2: (9) (9)', 'Step3: (2) (2)', 'Step4: (7) (7)', 'Step5: (6,3) (6,3)']",1,1
12578101112,4,"['Step1: (1,3,4) (4)', 'Step2: (3,6,9) (3,6)', 'Step3: (9) (9)']",1,2
4791112,6,"['Step1: (2,4,6) (6)', 'Step2: (8) (8)', 'Step3: (3,5) (3,5)', 'Step4: (2,1) (2,1)', 'Step5: (10) (10)']",3,1
341112,7,"['Step1: (6,3,9) (9)', 'Step2: (2,6,8) (2,6)', 'Step3: (5,1) (5,1)', 'Step4: (8) (8)', 'Step5: (10) (10)', 'Step6: (7) (7)']",4,2
1235679101112,3,"['Step1: (5,3,8) (8)', 'Step2: (4) (4)']",1,1
238101112,6,"['Step1: (5,2,7) (7)', 'Step2: (2,3,5) (5)', 'Step3: (6,1) (6,1)', 'Step4: (4) (4)', 'Step5: (9) (9)']",1,2
2359101112,5,"['Step1: (1,6,7) (7)', 'Step2: (4,1,5) (4,1)', 'Step3: (6) (6)', 'Step4: (5,3,8) (8)']",1,3
127810,7,"['Step1: (6,3,9) (9)', 'Step2: (1,4,5) (5)', 'Step3: (2,1,3) (3)', 'Step4: (4,6,10) (4,6)', 'Step5: (11) (11)', 'Step6: (12) (12)']",4,4
2347101112,5,"['Step1: (6,1,7) (6,1)', 'Step2: (4,5,9) (9)', 'Step3: (2,3,5) (5)', 'Step4: (8) (8)']",1,3
51112,8,"['Step1: (5,3,8) (8)', 'Step2: (5,2,7) (7)', 'Step3: (1,2,3) (1,2)', 'Step4: (6) (6)', 'Step5: (10) (10)', 'Step6: (9) (9)', 'Step7: (3,4) (3,4)']",5,3
12345891112,4,"['Step1: (3,4,7) (7)', 'Step2: (6,4,10) (10)', 'Step3: (2,4,6) (6)']",1,3
28101112,7,"['Step1: (6,1,7) (6,1)', 'Step2: (4,5,9) (9)', 'Step3: (5) (5)', 'Step4: (7) (7)', 'Step5: (3) (3)', 'Step6: (4) (4)']",2,2
15891012,5,"['Step1: (2,6,8) (2,6)', 'Step2: (3,4,7) (7)', 'Step3: (3,4) (3,4)', 'Step4: (11) (11)']",2,2
2891012,6,"['Step1: (3,6,9) (3,6)', 'Step2: (7) (7)', 'Step3: (1,4,5) (1,4)', 'Step4: (11) (11)', 'Step5: (5) (5)']",3,2
23789101112,4,"['Step1: (3,2,5) (5)', 'Step2: (1,6,7) (1,6)', 'Step3: (4) (4)']",1,2
27101112,6,"['Step1: (5,4,9) (5,4)', 'Step2: (3,1) (3,1)', 'Step3: (6) (6)', 'Step4: (9) (9)', 'Step5: (8) (8)']",2,1
9101112,7,"['Step1: (4,3,7) (4,3)', 'Step2: (5,1,6) (5,1)', 'Step3: (6) (6)', 'Step4: (2) (2)', 'Step5: (8) (8)', 'Step6: (7) (7)']",3,2
79101112,5,"['Step1: (1,6,7) (1,6)', 'Step2: (8) (8)', 'Step3: (3,2,5) (3,2)', 'Step4: (4,5,9) (4,5)']",2,3
151112,7,"['Step1: (4,3,7) (4,3)', 'Step2: (8) (8)', 'Step3: (1,6,7) (7)', 'Step4: (9) (9)', 'Step5: (2,6) (2,6)', 'Step6: (10) (10)']",4,2
12789101112,4,"['Step1: (2,4,6) (6)', 'Step2: (3,4,7) (3,4)', 'Step3: (5) (5)']",1,2
2789101112,4,"['Step1: (1,4,5) (1,4)', 'Step2: (6,3,9) (6,3)', 'Step3: (5) (5)']",1,2
123789101112,4,"['Step1: (1,3,4) (4)', 'Step2: (6) (6)', 'Step3: (5) (5)']",1,1
1257101112,5,"['Step1: (3,4,7) (3,4)', 'Step2: (8) (8)', 'Step3: (5,1,6) (6)', 'Step4: (9) (9)']",1,2
157812,6,"['Step1: (2,4,6) (2,4)', 'Step2: (10) (10)', 'Step3: (9) (9)', 'Step4: (3,6) (3,6)', 'Step5: (11) (11)']",4,1
4910,8,"['Step1: (2,4,6) (6)', 'Step2: (3,5,8) (8)', 'Step3: (3,2,5) (3,2)', 'Step4: (12) (12)', 'Step5: (7) (7)', 'Step6: (11) (11)', 'Step7: (1,5) (1,5)']",6,3
124891112,5,"['Step1: (10) (10)', 'Step2: (3,5,8) (3,5)', 'Step3: (7) (7)', 'Step4: (6) (6)']",1,1
13789101112,3,"['Step1: (4,6,10) (4,6)', 'Step2: (2,5,7) (2,5)']",1,2
1267910,6,"['Step1: (12) (12)', 'Step2: (8) (8)', 'Step3: (4,3,7) (4,3)', 'Step4: (5) (5)', 'Step5: (11) (11)']",3,1
28912,8,"['Step1: (4) (4)', 'Step2: (7) (7)', 'Step3: (5,6,11) (11)', 'Step4: (6) (6)', 'Step5: (2,3,5) (5)', 'Step6: (10) (10)', 'Step7: (1,3) (1,3)']",5,2
91011,8,"['Step1: (12) (12)', 'Step2: (5,1,6) (5,1)', 'Step3: (4) (4)', 'Step4: (6) (6)', 'Step5: (7) (7)', 'Step6: (8) (8)', 'Step7: (2,3) (2,3)']",5,1
1478101112,4,"['Step1: (3,5,8) (3,5)', 'Step2: (9) (9)', 'Step3: (6,2,8) (6,2)']",1,2
123671112,5,"['Step1: (4,5,9) (4,5)', 'Step2: (8) (8)', 'Step3: (9) (9)', 'Step4: (10) (10)']",1,1
12679101112,4,"['Step1: (3,5,8) (3,5)', 'Step2: (4) (4)', 'Step3: (8) (8)']",1,1
12348912,6,"['Step1: (4,1,5) (5)', 'Step2: (11) (11)', 'Step3: (6) (6)', 'Step4: (7) (7)', 'Step5: (10) (10)']",2,1
123789101112,4,"['Step1: (2,4,6) (6)', 'Step2: (4) (4)', 'Step3: (5) (5)']",1,1
291112,8,"['Step1: (3,5,8) (8)', 'Step2: (2,4,6) (6)', 'Step3: (1,4,5) (5)', 'Step4: (4,1) (4,1)', 'Step5: (7) (7)', 'Step6: (10) (10)', 'Step7: (3) (3)']",4,3
12569101112,4,"['Step1: (4,3,7) (4,3)', 'Step2: (8) (8)', 'Step3: (7) (7)']",1,1
16781112,6,"['Step1: (4) (4)', 'Step2: (10) (10)', 'Step3: (5) (5)', 'Step4: (3,6,9) (9)', 'Step5: (3,2) (3,2)']",2,1
451112,8,"['Step1: (1,2,3) (3)', 'Step2: (2,1) (2,1)', 'Step3: (7) (7)', 'Step4: (8) (8)', 'Step5: (10) (10)', 'Step6: (6) (6)', 'Step7: (9) (9)']",4,1
134581011,5,"['Step1: (12) (12)', 'Step2: (6,3,9) (9)', 'Step3: (5,2,7) (7)', 'Step4: (2,6,8) (2,6)']",1,3
234578101112,3,"['Step1: (1,6,7) (1,6)', 'Step2: (9) (9)']",1,1
137101112,6,"['Step1: (2,3,5) (5)', 'Step2: (6,4,10) (6,4)', 'Step3: (9) (9)', 'Step4: (2) (2)', 'Step5: (8) (8)']",1,2
146789101112,3,"['Step1: (3,5,8) (3,5)', 'Step2: (2) (2)']",1,1
678101112,6,"['Step1: (1,5,6) (1,5)', 'Step2: (6,3,9) (9)', 'Step3: (4) (4)', 'Step4: (3) (3)', 'Step5: (2) (2)']",1,2
123459101112,4,"['Step1: (6,1,7) (7)', 'Step2: (8) (8)', 'Step3: (4,2,6) (6)']",1,2
14569101112,5,"['Step1: (2) (2)', 'Step2: (3,5,8) (8)', 'Step3: (1,6,7) (7)', 'Step4: (3) (3)']",1,2
3467101112,5,"['Step1: (4,5,9) (9)', 'Step2: (2,1,3) (2,1)', 'Step3: (5,3,8) (8)', 'Step4: (5) (5)']",1,3
681112,7,"['Step1: (5,1,6) (5,1)', 'Step2: (3) (3)', 'Step3: (2,4,6) (2,4)', 'Step4: (9) (9)', 'Step5: (7) (7)', 'Step6: (10) (10)']",4,2
234589101112,3,"['Step1: (3,4,7) (7)', 'Step2: (6,1) (6,1)']",1,1
1235689101112,3,"['Step1: (5,2,7) (7)', 'Step2: (3,1,4) (4)']",1,2
12,10,"['Step1: (2) (2)', 'Step2: (1,3,4) (1,3)', 'Step3: (8) (8)', 'Step4: (9) (9)', 'Step5: (6) (6)', 'Step6: (7) (7)', 'Step7: (11) (11)', 'Step8: (5,4) (5,4)', 'Step9: (10) (10)']",8,1
13589101112,4,"['Step1: (4) (4)', 'Step2: (6,2,8) (6,2)', 'Step3: (7) (7)']",1,1
1456789101112,2,"['Step1: (2,3,5) (2,3)']",1,1
451011,7,"['Step1: (2,5,7) (7)', 'Step2: (5,3,8) (8)', 'Step3: (6,1) (6,1)', 'Step4: (3,2,5) (3,2)', 'Step5: (12) (12)', 'Step6: (5,4,9) (9)']",4,4
