Remainder,Steps,Decision_Tree,Score,Success
1359101112,5,"['Step1: (8) (8)', 'Step2: (5,2,7) (7)', 'Step3: (2,4,6) (2,4)', 'Step4: (6,1) (6)']",1,FALSE
2679101112,5,"['Step1: (1,4,5) (1,4)', 'Step2: (3,2,5) (5)', 'Step3: (8) (8)', 'Step4: (3) (3)']",1,FALSE
1457891112,4,"['Step1: (4,6,10) (10)', 'Step2: (3,2,5) (3,2)', 'Step3: (6,4) (6)']",1,FALSE
124789101112,3,"['Step1: (5,6,11) (5,6)', 'Step2: (3,2) (3)']",1,FALSE
1389101112,4,"['Step1: (6,2,8) (6,2)', 'Step2: (5,4,9) (5,4)', 'Step3: (7) (7)']",1,FALSE
123468101112,4,"['Step1: (1,4,5) (5)', 'Step2: (9) (9)', 'Step3: (3,4,7) (7)']",1,FALSE
1234671012,5,"['Step1: (6,3,9) (9)', 'Step2: (8) (8)', 'Step3: (5,6,11) (11)', 'Step4: (5,4) (5)']",1,FALSE
12591112,6,"['Step1: (8) (8)', 'Step2: (1,3,4) (4)', 'Step3: (7) (7)', 'Step4: (6,3,9) (6,3)', 'Step5: (10) (10)']",2,FALSE
14791012,6,"['Step1: (1,4,5) (5)', 'Step2: (6) (6)', 'Step3: (11) (11)', 'Step4: (3,2) (3,2)', 'Step5: (8) (8)']",2,FALSE
12781112,6,"['Step1: (4,3,7) (4,3)', 'Step2: (5) (5)', 'Step3: (6) (6)', 'Step4: (9) (9)', 'Step5: (10) (10)']",2,FALSE
23891112,5,"['Step1: (1,6,7) (7)', 'Step2: (10) (10)', 'Step3: (4,6) (4,6)', 'Step4: (5,1) (5,1)']",2,FALSE
58101112,6,"['Step1: (2) (2)', 'Step2: (6,3,9) (6,3)', 'Step3: (4,5,9) (9)', 'Step4: (1,4,5) (1,4)', 'Step5: (7) (7)']",2,FALSE
38912,7,"['Step1: (4,1,5) (4,1)', 'Step2: (10) (10)', 'Step3: (6,5,11) (11)', 'Step4: (6) (6)', 'Step5: (5,2,7) (5,2)', 'Step6: (7) (7)']",5,FALSE
236789101112,3,"['Step1: (4,1,5) (4,1)', 'Step2: (5) (5)']",1,FALSE
123467891012,3,"['Step1: (4,1,5) (5)', 'Step2: (11) (11)']",1,FALSE
