Remainder,Steps,Decision_Tree,Score,Num_Of_Choices_Made
89101112,5,"['Step1: [(1, 5),(2, 4),6] (2, 4)', 'Step2: [(1, 6),7] 7', 'Step3: [(1, 5),6] (1, 5)', 'Step4: [(3, 6),9] (3, 6)']",2,0
1891112,5,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (3, 7)', 'Step2: [(1, 8),(4, 5),9] (4, 5)', 'Step3: [(1, 9),(2, 8),10] 10', 'Step4: [(2, 6),8] (2, 6)']",3,0
136891112,5,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] 10', 'Step2: [(1, 4),(2, 3),5] 5', 'Step3: [(1, 3),4] 4', 'Step4: [(1, 8),(2, 7),(3, 6),9] (2, 7)']",1,0
39101112,6,"['Step1: [(1, 5),(2, 4),6] 6', 'Step2: [(1, 4),(2, 3),5] (1, 4)', 'Step3: [(3, 5),8] 8', 'Step4: [(2, 5),7] 7', 'Step5: [(2, 5)]']",2,0
12389101112,5,"['Step1: [(1, 3),4] 4', 'Step2: [(2, 3),5] 5', 'Step3: [6] 6', 'Step4: [7] 7']",1,0
36891012,5,"['Step1: [(1, 4),(2, 3),5] (1, 4)', 'Step2: [(2, 5),7] 7', 'Step3: [(2, 5)]', 'Step4: [(3, 8),11] 11']",2,0
2589101112,4,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (4, 6)', 'Step2: [(2, 5),7] 7', 'Step3: [(1, 3)]']",1,0
58101112,5,"['Step1: [(1, 3),4] (1, 3)', 'Step2: [(2, 8),(4, 6),10] (4, 6)', 'Step3: [(2, 7),9] (2, 7)', 'Step4: [9] 9']",2,0
34679101112,3,"['Step1: [(1, 9),(2, 8),(3, 7),(4, 6),10] (2, 8)', 'Step2: [(1, 5),6] (1, 5)']",1,0
145679101112,3,"['Step1: [(1, 7),(2, 6),(3, 5),8] 8', 'Step2: [(1, 4),(2, 3),5] (2, 3)']",1,0
13478101112,4,"['Step1: [(1, 6),(2, 5),(3, 4),7] (2, 5)', 'Step2: [(1, 8),(3, 6),9] 9', 'Step3: [6] 6']",1,0
4891112,5,"['Step1: [(1, 6),(2, 5),(3, 4),7] (1, 6)', 'Step2: [(2, 5),(3, 4),7] (2, 5)', 'Step3: [(3, 7),10] 10', 'Step4: [(3, 7)]']",3,0
267101112,5,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 8),(2, 7),(3, 6),9] (1, 8)', 'Step3: [(2, 6),(3, 5)] (3, 5)', 'Step4: [(2, 7),9] 9']",1,0
3479101112,4,"['Step1: [(1, 7),(2, 6),(3, 5),8] 8', 'Step2: [(1, 7),(2, 6),(3, 5)] (2, 6)', 'Step3: [(1, 5)]']",1,0
289101112,5,"['Step1: [(1, 7),(2, 6),(3, 5),8] (1, 7)', 'Step2: [(2, 3),5] 5', 'Step3: [(2, 4),6] 6', 'Step4: [(3, 4)]']",1,0
137891012,5,"['Step1: [(1, 5),(2, 4),6] 6', 'Step2: [(1, 10),(2, 9),(3, 8),(4, 7),11] 11', 'Step3: [(1, 8),(2, 7),(4, 5),9] (4, 5)', 'Step4: [2] 2']",1,0
35101112,6,"['Step1: [(1, 3),4] 4', 'Step2: [(1, 7),(2, 6),(3, 5),8] (2, 6)', 'Step3: [(1, 7),(3, 5),8] (1, 7)', 'Step4: [(3, 5),8] 8', 'Step5: [9] 9']",2,0
