Remainder,Steps,Decision_Tree,Score,Success
157101112,5,"['Step1: (3,6,9) (9)', 'Step2: (4,3,7) (4,3)', 'Step3: (6,2,8) (6,2)', 'Step4: (8) (8)']",1,FALSE
2571112,6,"['Step1: (10) (10)', 'Step2: (4,1,5) (4,1)', 'Step3: (3,6,9) (3,6)', 'Step4: (8) (8)', 'Step5: (9) (9)']",3,FALSE
5671012,6,"['Step1: (2,6,8) (8)', 'Step2: (2,4,6) (2,4)', 'Step3: (1,3) (1,3)', 'Step4: (9) (9)', 'Step5: (6,5,11) (11)']",3,FALSE
234579101112,3,"['Step1: (3,5,8) (8)', 'Step2: (1,6,7) (1,6)']",1,FALSE
2912,9,"['Step1: (6) (6)', 'Step2: (7) (7)', 'Step3: (1,5) (1)', 'Step4: (10) (10)', 'Step5: (4) (4)', 'Step6: (3,5,8) (3,5)', 'Step7: (8) (8)', 'Step8: (11) (11)']",6,FALSE
12347891011,3,"['Step1: (12) (12)', 'Step2: (5,6,11) (5,6)']",1,FALSE
2691112,6,"['Step1: (4,6,10) (10)', 'Step2: (8) (8)', 'Step3: (4,3,7) (7)', 'Step4: (5,1,6) (5,1)', 'Step5: (3,4) (3,4)']",3,FALSE
2346789101112,2,"['Step1: (1,5,6) (1,5)']",1,FALSE
689101112,5,"['Step1: (6,1,7) (7)', 'Step2: (4,3) (4)', 'Step3: (5,1,6) (5,1)', 'Step4: (3,2) (3,2)']",1,FALSE
1235789101112,2,"['Step1: (6,4,10) (6,4)']",1,FALSE
25891112,5,"['Step1: (3,4,7) (3,4)', 'Step2: (10) (10)', 'Step3: (6,1,7) (6,1)', 'Step4: (2,5,7) (7)']",2,FALSE
361011,8,"['Step1: (1,4,5) (1,4)', 'Step2: (3,2,5) (5)', 'Step3: (2) (2)', 'Step4: (7) (7)', 'Step5: (12) (12)', 'Step6: (8) (8)', 'Step7: (9) (9)']",4,FALSE
589101112,5,"['Step1: (3,2,5) (3,2)', 'Step2: (1,4,5) (1,4)', 'Step3: (7) (7)', 'Step4: (6) (6)']",1,FALSE
14578912,5,"['Step1: (3,2,5) (3,2)', 'Step2: (4,6,10) (10)', 'Step3: (5,6,11) (11)', 'Step4: (6) (6)']",2,FALSE
123891112,6,"['Step1: (6) (6)', 'Step2: (3,2,5) (5)', 'Step3: (3,1,4) (4)', 'Step4: (10) (10)', 'Step5: (7) (7)']",1,FALSE
245891012,5,"['Step1: (3,1,4) (3,1)', 'Step2: (6) (6)', 'Step3: (11) (11)', 'Step4: (7) (7)']",1,FALSE
1239101112,5,"['Step1: (2,4,6) (6)', 'Step2: (4,5,9) (4,5)', 'Step3: (7) (7)', 'Step4: (8) (8)']",1,FALSE
341112,8,"['Step1: (5,3,8) (8)', 'Step2: (1,2,3) (1,2)', 'Step3: (6) (6)', 'Step4: (7) (7)', 'Step5: (10) (10)', 'Step6: (9) (9)', 'Step7: (5) (5)']",4,FALSE
13489101112,4,"['Step1: (6) (6)', 'Step2: (7) (7)', 'Step3: (2,5) (2,5)']",1,FALSE
13791012,6,"['Step1: (4,2,6) (6)', 'Step2: (11) (11)', 'Step3: (5,3,8) (8)', 'Step4: (2,4) (2,4)', 'Step5: (5) (5)']",2,FALSE
14691112,6,"['Step1: (6,2,8) (8)', 'Step2: (3,2,5) (3,2)', 'Step3: (4,6,10) (10)', 'Step4: (5) (5)', 'Step5: (7) (7)']",2,FALSE
1568101112,5,"['Step1: (3,6,9) (9)', 'Step2: (2,3,5) (2,3)', 'Step3: (4) (4)', 'Step4: (7) (7)']",1,FALSE
123457891112,3,"['Step1: (10) (10)', 'Step2: (6,4) (6)']",1,FALSE
123101112,7,"['Step1: (2,6,8) (8)', 'Step2: (4) (4)', 'Step3: (3,2,5) (5)', 'Step4: (7) (7)', 'Step5: (3,6,9) (9)', 'Step6: (6) (6)']",1,FALSE
891012,9,"['Step1: (6,1,7) (7)', 'Step2: (3,2,5) (5)', 'Step3: (11) (11)', 'Step4: (2) (2)', 'Step5: (1,6) (1)', 'Step6: (4) (4)', 'Step7: (6) (6)', 'Step8: (3) (3)']",4,FALSE
379101112,5,"['Step1: (2,6,8) (8)', 'Step2: (2,6) (2,6)', 'Step3: (1,5) (1,5)', 'Step4: (4) (4)']",1,FALSE
